[2022-04-27 10:58:13,186 : flight_utils.py:799 -     retrieve_amadeus() ] requesting amadeus round trip flight for WAS -BER - 2022-05-27 for 1 adult(s)
[2022-04-27 10:58:54,313 : meeting.py:710 -             plot_all() ] meeting_name: Processing plot_co2eq
[2022-04-27 10:58:54,313 : meeting.py:182 -     build_co2eq_data() ]   - attendee 1: {'country': 'US'}
[2022-04-27 10:58:54,313 : meeting.py:185 -     build_co2eq_data() ]   - Flight from WAS to  BER
[2022-04-27 10:58:54,314 : flight_utils.py:799 -     retrieve_amadeus() ] requesting amadeus round trip flight for WAS -BER - 2022-05-27 for 1 adult(s)
[2022-04-27 11:01:19,134 : meeting.py:711 -             plot_all() ] meeting_name: Processing plot_co2eq
[2022-04-27 11:01:19,134 : meeting.py:182 -     build_co2eq_data() ]   - attendee 1: {'country': 'US'}
[2022-04-27 11:01:19,134 : meeting.py:185 -     build_co2eq_data() ]   - Flight from LAX to  BER
[2022-04-27 11:01:19,134 : flight_utils.py:799 -     retrieve_amadeus() ] requesting amadeus round trip flight for LAX -BER - 2022-05-27 for 1 adult(s)
[2022-04-27 14:24:18,457 : meeting.py:710 -             plot_all() ] meeting_name: Processing plot_co2eq
[2022-04-27 14:24:18,457 : meeting.py:182 -     build_co2eq_data() ]   - attendee 1: {'country': 'US'}
[2022-04-27 14:24:18,457 : meeting.py:185 -     build_co2eq_data() ]   - Flight from WAS to  BER
[2022-04-27 14:24:18,457 : flight_utils.py:799 -     retrieve_amadeus() ] requesting amadeus round trip flight for WAS -BER - 2022-05-27 for 1 adult(s)
[2022-04-27 14:25:39,930 : meeting.py:710 -             plot_all() ] meeting_name: Processing plot_co2eq
[2022-04-27 14:25:39,931 : meeting.py:182 -     build_co2eq_data() ]   - attendee 1: {'country': 'US'}
[2022-04-27 14:25:39,931 : meeting.py:185 -     build_co2eq_data() ]   - Flight from LAX to  BER
[2022-04-27 14:25:39,931 : flight_utils.py:799 -     retrieve_amadeus() ] requesting amadeus round trip flight for LAX -BER - 2022-05-27 for 1 adult(s)
[2022-04-27 14:26:39,763 : meeting.py:710 -             plot_all() ] meeting_name: Processing plot_co2eq
[2022-04-27 14:26:39,763 : meeting.py:182 -     build_co2eq_data() ]   - attendee 1: {'country': 'US'}
[2022-04-27 14:26:39,763 : meeting.py:185 -     build_co2eq_data() ]   - Flight from LAX to  BER
[2022-04-27 14:26:39,764 : flight_utils.py:799 -     retrieve_amadeus() ] requesting amadeus round trip flight for LAX -BER - 2022-05-27 for 1 adult(s)
[2022-04-27 14:27:26,992 : meeting.py:710 -             plot_all() ] meeting_name: Processing plot_co2eq
[2022-04-27 14:27:26,992 : meeting.py:182 -     build_co2eq_data() ]   - attendee 1: {'country': 'US'}
[2022-04-27 14:27:26,992 : meeting.py:185 -     build_co2eq_data() ]   - Flight from WAS to  BER
[2022-04-27 14:27:26,993 : flight_utils.py:799 -     retrieve_amadeus() ] requesting amadeus round trip flight for WAS -BER - 2022-05-27 for 1 adult(s)
[2022-04-27 14:28:10,178 : meeting.py:710 -             plot_all() ] meeting_name: Processing plot_co2eq
